,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,PAST SALE,December-29-2017,Condo/Co-op,400-B Ortega Ave #302,MOUNTAIN VIEW,CA,94040.0,725000.0,1.0,1.0,MOUNTAIN VIEW,763.0,1300.0,1975.0,1233.0,950.0,359.0,Sold,,,http://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-302/home/12171858,MLSListings,ML81682611,N,Y,37.40001029999999,-122.10526180000001
1,PAST SALE,July-18-2018,Single Family Residential,1408 Ernestine Ln,MOUNTAIN VIEW,CA,94040.0,2650000.0,3.0,3.0,MOUNTAIN VIEW,1728.0,5160.0,1954.0,1032.0,1534.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/1408-Ernestine-Ln-94040/home/1240232,MLSListings,ML81710838,N,Y,37.3865079,-122.09186129999999
2,PAST SALE,November-21-2018,Condo/Co-op,181 Del Medio Ave #209,MOUNTAIN VIEW,CA,94040.0,710000.0,1.0,1.0,MOUNTAIN VIEW,756.0,756.0,1962.0,906.0,939.0,389.0,Sold,,,http://www.redfin.com/CA/Mountain-View/181-Del-Medio-Ave-94040/unit-209/home/12171971,MLSListings,ML81726661,N,Y,37.4081669,-122.1114145
3,PAST SALE,June-23-2020,Condo/Co-op,2211 Latham St #302,MOUNTAIN VIEW,CA,94040.0,1200000.0,2.0,2.0,MOUNTAIN VIEW,1382.0,,1978.0,326.0,868.0,545.0,Sold,,,http://www.redfin.com/CA/Mountain-View/2211-Latham-St-94040/unit-302/home/2121184,MLSListings,ML81793396,N,Y,37.3972947,-122.1030499
4,PAST SALE,March-11-2021,Townhouse,1525 Tyler Park Way,MOUNTAIN VIEW,CA,94040.0,1500000.0,2.0,2.5,MOUNTAIN VIEW,1648.0,1351.0,1979.0,65.0,910.0,538.0,Sold,,,http://www.redfin.com/CA/Mountain-View/1525-Tyler-Park-Way-94040/home/1240252,MLSListings,ML81826757,N,Y,37.37538,-122.077552
5,PAST SALE,March-16-2017,Single Family Residential,1585 Bonita Ave,MOUNTAIN VIEW,CA,94040.0,1850000.0,3.0,2.0,MOUNTAIN VIEW,1178.0,5980.0,1953.0,1521.0,1570.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/1585-Bonita-Ave-94040/home/548024,MLSListings,ML81639026,N,Y,37.3750686,-122.0800606
6,PAST SALE,May-7-2019,Single Family Residential,778 Rustic Ln,MOUNTAIN VIEW,CA,94040.0,2799000.0,5.0,3.0,MOUNTAIN VIEW,2412.0,8000.0,1975.0,739.0,1160.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/778-Rustic-Ln-94040/home/1785749,MLSListings,ML81738121,N,Y,37.380117600000005,-122.0864581
7,PAST SALE,June-11-2020,Townhouse,157 Ortega Ave,MOUNTAIN VIEW,CA,94040.0,1500000.0,3.0,2.5,MOUNTAIN VIEW,1755.0,2865.0,1978.0,338.0,855.0,525.0,Sold,,,http://www.redfin.com/CA/Mountain-View/157-Ortega-Ave-94040/home/2121139,MLSListings,ML81793627,N,Y,37.4017723,-122.1017297
8,PAST SALE,May-25-2016,Single Family Residential,1040 Cuesta Dr,MOUNTAIN VIEW,CA,94040.0,2000000.0,3.0,2.0,MOUNTAIN VIEW,1652.0,6200.0,1955.0,1816.0,1211.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/1040-Cuesta-Dr-94040/home/810345,MLSListings,ML81579899,N,Y,37.373618799999996,-122.0921106
9,PAST SALE,May-19-2016,Single Family Residential,801 S Knickerbocker Dr,SUNNYVALE,CA,94087.0,1375000.0,3.0,2.0,SUNNYVALE,1120.0,5000.0,1955.0,1822.0,1228.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/801-S-Knickerbocker-Dr-94087/home/1653250,MLSListings,ML81578554,N,Y,37.370486299999996,-122.0607733
10,PAST SALE,October-16-2020,Single Family Residential,1077 Brighton Pl,MOUNTAIN VIEW,CA,94040.0,2550000.0,3.0,2.0,MOUNTAIN VIEW,1433.0,7324.0,1954.0,211.0,1779.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/1077-Brighton-Pl-94040/home/1511492,MLSListings,ML81811606,N,Y,37.390590100000004,-122.10147450000001
11,PAST SALE,April-22-2019,Condo/Co-op,49 Showers Dr Unit A142,MOUNTAIN VIEW,CA,94040.0,1200000.0,3.0,2.0,MOUNTAIN VIEW,1392.0,21821.0,1977.0,754.0,862.0,435.0,Sold,,,http://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-A142/home/2121020,MLSListings,ML81743498,N,Y,37.4041901,-122.10272749999999
12,PAST SALE,September-11-2020,Single Family Residential,135 Wortham Ct,MOUNTAIN VIEW,CA,94040.0,2568000.0,4.0,3.5,MOUNTAIN VIEW,2202.0,8891.0,1966.0,246.0,1166.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/135-Wortham-Ct-94040/home/648041,MLSListings,ML81802217,N,Y,37.366010700000004,-122.0772085
13,PAST SALE,December-28-2017,Single Family Residential,2380 Sun Mor Ave,MOUNTAIN VIEW,CA,94040.0,2322000.0,3.0,2.0,MOUNTAIN VIEW,1722.0,9375.0,1952.0,1234.0,1348.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/2380-Sun-Mor-Ave-94040/home/648598,MLSListings,ML81685370,N,Y,37.3700143,-122.0704062
14,PAST SALE,October-15-2018,Condo/Co-op,400 Ortega Ave #209,MOUNTAIN VIEW,CA,94040.0,840000.0,2.0,1.0,MOUNTAIN VIEW,928.0,1016.0,1975.0,943.0,905.0,505.0,Sold,,,http://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-209/home/12171851,MLSListings,ML81718165,N,Y,37.3995296,-122.10568219999999
15,PAST SALE,January-16-2018,Single Family Residential,302 Monroe Dr,MOUNTAIN VIEW,CA,94040.0,2825000.0,5.0,4.5,MOUNTAIN VIEW,3043.0,11039.0,1988.0,1215.0,928.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/302-Monroe-Dr-94040/home/2121122,MLSListings,ML81685928,N,Y,37.4107022,-122.1167834
16,PAST SALE,February-3-2021,Condo/Co-op,118 Ranch Ln,MOUNTAIN VIEW,CA,94040.0,1600000.0,3.0,3.5,MOUNTAIN VIEW,1705.0,,2018.0,101.0,938.0,399.0,Sold,,,http://www.redfin.com/CA/Mountain-View/118-Ranch-Ln-94040/home/168869325,MLSListings,ML81733174,N,Y,37.403135299999995,-122.1014148
17,PAST SALE,February-10-2021,Single Family Residential,1848 Golden Way,MOUNTAIN VIEW,CA,94040.0,3600000.0,3.0,2.5,MOUNTAIN VIEW,2429.0,8950.0,1965.0,94.0,1482.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/1848-Golden-Way-94040/home/1376057,MLSListings,ML81827352,N,Y,37.3696443,-122.09080130000001
18,PAST SALE,January-5-2018,Single Family Residential,1855 Fordham Way,MOUNTAIN VIEW,CA,94040.0,3280000.0,3.0,2.5,MOUNTAIN VIEW,2200.0,8953.0,1965.0,1226.0,1491.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/1855-Fordham-Way-94040/home/642439,MLSListings,ML81685921,N,Y,37.369434999999996,-122.0912452
19,PAST SALE,May-7-2021,Single Family Residential,1675 Tulane Dr,MOUNTAIN VIEW,CA,94040.0,3110000.0,3.0,2.0,MOUNTAIN VIEW,1837.0,6300.0,1952.0,8.0,1693.0,,Sold,,,http://www.redfin.com/CA/Mountain-View/1675-Tulane-Dr-94040/home/641958,MLSListings,ML81837305,N,Y,37.3749854,-122.08771680000001
20,PAST SALE,October-14-2016,Condo/Co-op,181 Del Medio Ave #208,MOUNTAIN VIEW,CA,94040.0,522000.0,1.0,1.0,MOUNTAIN VIEW,756.0,757.0,1962.0,1674.0,690.0,354.0,Sold,,,http://www.redfin.com/CA/Mountain-View/181-Del-Medio-Ave-94040/unit-208/home/12171970,MLSListings,ML81613209,N,Y,37.408218100000006,-122.111057
21,PAST SALE,July-20-2018,Condo/Co-op,183 Del Medio Ave #302,MOUNTAIN VIEW,CA,94040.0,920000.0,2.0,2.0,MOUNTAIN VIEW,1012.0,714.0,1962.0,1030.0,909.0,518.0,Sold,,,http://www.redfin.com/CA/Mountain-View/183-Del-Medio-Ave-94040/unit-302/home/2121266,MLSListings,ML81704546,N,Y,37.407743200000006,-122.1119469
22,PAST SALE,May-25-2018,Condo/Co-op,2025 California St #48,MOUNTAIN VIEW,CA,94040.0,750000.0,2.0,1.0,MOUNTAIN VIEW,789.0,769.0,1965.0,1086.0,951.0,400.0,Sold,,,http://www.redfin.com/CA/Mountain-View/2025-California-St-94040/unit-48/home/1391668,MLSListings,ML81700379,N,Y,37.3979898,-122.09852340000002
23,PAST SALE,July-2-2020,Townhouse,213 Ortega Ave,MOUNTAIN VIEW,CA,94040.0,1425000.0,3.0,2.5,MOUNTAIN VIEW,1725.0,2100.0,1978.0,317.0,826.0,525.0,Sold,,,http://www.redfin.com/CA/Mountain-View/213-Ortega-Ave-94040/home/12171894,MLSListings,ML81790142,N,Y,37.4028232,-122.10287240000001
